english,romanized
shanghai is referred to as the paris of the east.,shanghai di paris of the east en baty
i appreciate all you have done.,nga choe teu gi la ylta bay ney rang yie
she threatened him.,mo ghi kho nyenkha chen na tshu nu
"do not worry about it, ok?",choe tshagay ma lang tub
the clouds are coming from the south.,samu dhi malay wong dhay
your dog is very big.,choe ghi rochi bom dhu
am i on that list?,nga ya tshe yoe ga
it is hard to admit to yourself that you are a failure.,"choe choera tsaka matsi ni dhighi, choe ra hagoni lu lhakha en"
he works as a translator.,kho kayjurpa enn bey
what time did your friend go home?,choe gi charo time gam chi na chim na joye
she is a famous singer.,mo zhabthra thoen mi famous chi een
this is all i know.,nga ghi anim chi cham chi shay.
i may be able to come to your office monday afternoon.,nga choe ghi office na monday tho zha sha bay hong ni
recently we have had several disasters.,dari naba disasters do cc wong yi
is it always hot like this?,aatara anzum bayra tsep tsa wong ya?
do you guys smoke?,choe tamkhu thung wong bu?
i do not know whose umbrella this is.,nga mishey mai gagi umbrella ena di
do not listen to pema. he does not know what he is talking about.,kho gi loo na nen. kho kho ra gachi lab ena meshay
i will get in touch with you again about this matter.,ani gi kor lay nga gi choe lu lok shu lay lab gay
we are quite certain of that.,nga chey ani ra en sey now mae
she is not kind to him.,mo gi kho lu layshom mibay way
"even though it is small, it is still a great car.",ani drulkhor dhi chungku en ru layshoom dhu
"hey, what is up?",wai gan baw
i gave you my word.,che lu nge kha tsi enn
what do you want to eat this weekend?,choe ani weekend na gachi zani
"i am not a university student, but i am brighter than them.",nga university student menru kho wa dhi nga dra
it is up to you and me.,di choe da nga lu en
it is not worth the money.,ammchi worth mindhu
i drank the water.,nga chu thung yi
i asked chime if he knew mary.,"nga ghi chime lu dri yi , kho ghi mary ngo shay ga sey"
i play guitar in an oldies band.,nga guiter dhi hayma ghi band na tsay we
"i would love to go with you to the show, but i am flat broke.","choe chikha tem ta wa joni trowa yoe ru, nga lu teeru me."
fold up your bedding.,dhen tab dha
do you deny it?,metup say ena
that is why i have done all this.,dhi bay ni dhi gi nga tsha dray ye
he was exposed to danger.,kho nenkha na thoen nu
when were you thinking of coming back to the states?,choe states na nam lok wong ni ngosam yoe?
he left a minute ago.,kho one minute haema joyi tay
this is the calm before the storm.,ani dhi storm gi haema calm en
a trip to hawaii will cost you about 200 dollars.,hawaii lu trip jowachin dollar dhay che jowong
she tied him up.,mo ghi kho dam zha nu
i seldom eat dairy products.,dairy product namasamay zanimi
i just wanted to play poker.,nga jus poker tsey go no now en tay
i do not know how to do that.,nga ghi meshay gaday ba bena
i unlocked the door.,nga go dham zha ye
i want you to go to your room and pack your things.,choe room na jobey pack chab bay wong sey menlam tab do
go away.,ya so
would you like that?,go ni na choe
dorji has been expelled from school.,dorji lodra ley toen ta nu
i wonder if maybe i should go.,nga jon na mo
he speaks fluent english.,kho gi english fluent bay speak bay shey
one should not make comments.,ga gi ya comment bay ni mi wong
i do not like him.,nga kho me ga
tashi does not like to talk about his past.,tashi gi hayma gi korlay lap go ra mano way
there are two zeros in the number 2010.,lekor nge dhu na
a gentleman would not do such a thing.,phoja zangpo gi dhi zum me bay
would you put out the candles?,choe ghi ani candles tshu sey wong gaa
dorji should not have left.,to di ma jo ru tub chi
i live across the hall.,nga hall gi phakha dep en
they teased the new student.,khong gi alu tsab dhi thro day
where is the boss?,boss kalay?
i think this piano has not been tuned for a few years.,ani piano di lo halam yo ma koe bay
autumn is my favorite season.,autumn de nge ga sho season enn
she advised him to study harder.,kho ghi pay cha tsa gyen ta lab dhay
i trust we are all alone.,nga gi shay nga chay gayra soso ena
how do you eat like that without gaining weight?,nyam mata wa bey toh gadey zaw mo
i beg your pardon. i did not think this was your seat.,tsip ma za dhi choe gi doe sa emm ma shay
the story begins a long time ago.,sung di hema ley go tshu nu
i think ugyen and mary are canadians.,nga gi bay wa chin ugyen dang mary dhi canadian embay
it is too late for me.,dha nga che ra che c
why do i have to do that?,nga ah phe dhi gachi bae bay go
a holiday this summer is out of the question.,summer gi chuti dhiben chodri yoe may
germany has no minimum wage.,germany na lu minimum wage mi
dorji knew that mary loved john.,mary gi john lu gaw emm dorji gi shy bay
the cops want you.,mame ge tshay day
the resistance movement has gone underground.,underground yasu nu resistance dhi
where do you want us to start looking?,ngachay gi tsheni dhi gatay lay gotshu ni mo?
why do not you help us?,charo mibaywo or bay na sa charo. bay tey ya charo
her classmates made fun of her.,mo gi lob drog tsu goedro zo nu
did i give you that impression?,nga ge impression layshom dey he ga
here is where it all happens.,rana gara bay wong
i have a tourist visa.,nga lu tourist visa yoe
we stood at the door and waited.,go kha long dhi gu yi
we respect thinley a lot.,nga chay tshu gi thinley lu respect yoe
i want you to be prepared.,choe dadi bay se
that is enough.,tub bae dha
the sun is shining in the sky.,namkha lay ngim shu bay sha dey
welcome to san francisco.,san franciso lu joenpa lekso
her oldest son is not married.,mo gi bu gensho ngen machaby
he seated himself beside her.,kho mo gi tsawa dayee
can this possibly be the right address?,ane dhay sa sa go ra ena mo
are not you the one who is always saying we should spend more time together?,choe menbu atara chikha daygay labmi
who did you write a letter to?,choe ge letter galu dri yi?
i would like you to keep this a secret.,choe gi dhi sangwa bay zhana
i do not know you anymore.,nga choe nga mi shay bey.
he will be back in a few minutes.,kho atsi kha lae wong
what choice did i have?,nga ga chi dam kha xhap chi
all i want to do is finish what i started.,nga gho tshu me de ju dup bay bay ne
"he was tired, but he kept on working.",kho wu dhunu bro
they will kill me.,khong ghi nga sey wong
i am swamped with work.,nga lu la kno know chi yoe
he is ready to go.,jo ni ready dhu
he walked quietly.,kho khu sim sim bay ya si
"okay, i am ready.","yaya, nga ready en"
do not touch the button.,ani button ma tro
come on any day you like.,nam bayru sho
"long, long ago, there lived an old man and his wife.",hema hema agay chi da kho rai aum tsu chi doe nu
i hate my parents.,nga gi pham mega wae
i think death is preferable to shame.,ngotsau ley dhi shi wa drani mey
i feel terrific.,jay longyi
do you want to get us both killed?,nga chey nye chara choe gi say ni enna?
"you do not really want that, do you?",choe ngoma mongo gush? ena?
we tried to stop them.,ngachey gi khong kani beyi
we do not care what he does.,kho ga chi bay ru bay chu
i will get the check.,nga gi check ba gay
"frankly speaking, i hate him.","thrang bay lap do, nga kho mega"
cannot you reach the book on the shelf?,choe gi ya dom tho kha yoe me paycha dhi dha me zin bay ya?
all is well that ends well.,gara layshum en
you must accept your role.,bay labmi baydha
a man's worth lies in what he is.,bus gi yoebab di kho ra ga em di en
i left as soon as i could.,nga gadem chi joba jo tshub chi joyi
she is a blonde girl.,mo cha yellow du
he is the only child they have.,alu khora chi en
whose paper is this?,gaa ghi sho go mo ani dhi
we have a lot of time.,dhi tshay lay sha yey
i figured you were not coming.,choe me yong noe yee tay.
"the weather was not only cold, but also wet.",nachi dhi jangni cham chi maenba laem ya dhu
it must have slipped my mind.,ani dhi nga j sop mae
try to control yourself.,control ba si man
i am not a beggar.,nga beggar men mey
he has a big mouth.,kho lu kha bom yoe may
chime washed the car this morning.,chime ghi gari dachi droba chu dhay
this is an apple tree.,ani apple gi shing enn
chime pulled a box from under the bed.,chime gi dom chi thoen dhay bed gi wog lay.
chime has a healthy life style.,chime dhoe thang leyshom yoe
the petals floated on the surface of the water.,meto gi dama chu gi thok ka cha dey nu
the rights of the individual are important in a free society.,mi gi wangtse dhi khag che tok tok enn
the neighbors called the police.,chim tsa gi thrim sung bo nu
i miss my family and my country.,nga poencha dha gyelkhap dren mai
i really like french cooking.,nga french cooking namay samay ga
he skipped a grade.,kho ghi grade skip bay dheyi
we are not amused.,ngachay ha malay
tell me more about yourself.,daru mam bay labsh choe ra ghe korlay
tashi was not wearing a belt.,tashi kayra ma ta nu
what is the name of the company you work for?,a i company gi ming di agchi ena
your ideas are different from mine.,choe ghi no mi dha nga ghi no mi dhi me dra bay
you would make a good diplomat.,choe gi zhungtsap layshum bay ni may.
hypnotism works.,hypnotism gi la baewong
you are driving me nuts.,cho ge kaysa kay do
do you drink?,choe chang thungni yoe ga?
how many of the words on this list do you not know?,na lay tshik gamchi shay chi
i am so thirsty.,nga na mea sa mea kha kom chi
gyeltshen sent a text message to a girl he liked in his class.,gyeltshen gi class na gi bum gami lu text baynu
it is normal for you to feel a bit woozy.,choe woozy feel bayni dhi normal en
i want to file a complaint.,nga complaint chi file bayni
i have a slight cold.,nga tsa trim thob bay yoe
she heard him cry.,mo gi kho ngu doep da ha go yee lo
what is happening in the cave? i am curious. i have no idea.,ra phe jang kho na gachi bay nu? nga shay go no ye. nga gi meshay
i want to live close to the station.,nga station gi close bay day go bay
but i was careful.,doe bew da nga rip dem bay ra deyi
you are all set.,choe dra dri ya si
who discovered america?,america dhi ga gi tsey thob nj
chime and mary are not afraid.,chime dah mary madrobay
i will never forget you.,nga choe cheri mapalay mijay
a trip to mars may become possible in my lifetime.,nge mistay na tsa chi dhi mars na jow tsub hong
i am still in shock.,i dato ya shock na yoe
drop it!,ma zha!
i did not want to spend any more time in bed.,chab go ma no
new york state is almost as large as greece.,newyork greece zum bay ra bom dhu
could we have a spoon?,ngechey spoon chi thob ga?
i had to go there yesterday.,nga khatsa pha jo gob thoen yi
my brother would often stay up all night reading novels.,nyi acho de chiru nub chi lhobdap lhab de day wong
they would prefer that we wait.,khong gi nga chey wait bey ni perfer bey tho wong
i can resist everything but temptation.,nga ge gachi ya resist bay tsub but except temptation
i work out.,nga leejong bey ni yoe
i have no one to say goodbye to.,nga joyi si lab goo galu ya mi
einstein enjoyed playing the violin.,einstein violin tang ni gaway
i work every day but sunday.,nga atara la bayni yoe but sunday lu bayni mi
that headline was extremely misleading.,ani topic dhe gi layshom bay milab bay
she thanked me for the present.,mo gi thank you lab dey present gi doen lu
i refuse to be treated like a slave by you.,nga choe ge jaro ju mitshu
i do not believe you have met him.,nga den zi ra ma ray choe gi ko chayi lab da
let us do our job.,nga chey rai la baygay
gyeltshen believes that mary was murdered.,gyeltshen gi baywa chin mary dhi say dhab en may
i believe that there is a mistake.,nga gi baywa chin zoewa chi dhu
my father is arriving at the station at five.,apa chu tsay nga na thay hong
i hope to participate.,nga participate bay ni
ugyen left the room without saying a word.,ugyen ghi gani ya malab ba thoen ya si
be nice.,tik tik bay sa
i have my own reasons.,nga lu reasons yoe baty
everything is fine.,gara tik ti ennn
i have a glass eye.,mito glass tsuyi
she studies hard.,mo paycha tsa gyen taw mae
i am going to study english this afternoon.,nga english lhab go bay afternoon na
it is on the eighth floor.,thok gayp na enmay
do both ugyen and mary understand french?,do da mary nyi chara ge frech ha go shey ga?
i will not say it again.,nga lok melab mey
my grandfather goes for walks on days when the weather is good.,nge agay gi namshey layshom yoeb dha walk na jo ni yoe
it was gyeltshen that saved the girl.,gyeltshen deyi mo save bey mi dhi
i used a ribbon to tie my hair into a ponytail.,cha ponytail style na dam ni ge denlu ribbon use baye
it is new.,sap mae.
i slept nine hours.,nga hours ngye dhoeyi
it is not that cold.,mi jangmey
can i pay for the book by check?,ani denlay teru tray go mi dhi check lay bay tubga
i could try.,nga ge bay tshub wong
new york is worth visiting.,new york de gatoto yoe
they needed to trade with them for food.,khong to gi then lu jaysoor bay go bay
ugyen was determined to finish the job before he went home.,ugyen gi la di bae tsu za nyen ma tub
can you lend me 500 yen?,choe nga lu tiru na may
a field of grass can be quite beautiful.,tsa gi sagoh dhi jachichi dhu
pema has read a lot of books about that.,pema gi ani zum gi kolag kitab lasha lhab nu
do you want sugar in your coffee?,choe ghi cofffe na chini go ga
i have been meaning to get in touch.,nga chay ni bae ra doe yoe sa
i just found an old diary.,diary nyim chi thob chi
the road turns left there.,road apala lay pha turn bay wong
we stayed at a nice hotel.,nga chay hotel ga tok tok chi na dhoe yi
he is canadian.,kho canada lay en.
chime taught me how to play chess.,chimi gi chess toenyi
can i speak with you?,nga choe chikha lo lab ga
you have a lovely daughter.,choe ghi bum jarim chi dhu
that sounded like a gunshot.,gunshot ghi kay zum goyiii
i always have a lot of fun when i come here.,nga na wom da tro wa then may
i cannot do this alone.,ani nga ra chi bay mitsub
the diamond appears genuine.,diamond ngoma em zum dhu
who is the gorgeous girl i saw wandering around in the mall with you?,gamo aphi bum jarim dhi choe nam tshongkhang na jo sa thong mi dhi
it is not as good as it looks.,ani dhi me kha tshi dhu zum chi ra me ja way
he does not want to talk about it.,kho lo labgo mano bay
it was night.,deyi chiru
do not risk your fortune on that.,choe ra gi seynam nyen kha na matsu
i remember now.,nge sem kha wongyi daben
how long will the operation take?,operation gam chi gu wong ga
"i am sorry, but i cannot go with you.","sorry, nga choe ngyam jo mitsub bae"
i have attempted suicide twice.,nga rang so rang ghi tsa ne chay ni bay ye
i saw a red car and a white one. the red one was nicer looking than the white one.,nga ghi numkhor marp dang karp chi thong yi. marp dhi karp dang choep da leyshom thongyi
i do not care how old you are.,nga mishey choe gam chi old ena
i must destroy you.,nga choe seyni
he is the tallest boy.,kho zu remsho enn
i do not see the appeal.,jiks chi mindu
it is a pity when somebody dies.,mi zhen shiw dah sem threw may
i feel really strongly about it.,nga dhi ani kor lay sem ra ga ye
sunglasses protect our eyes from the sun.,sunglasses gi migto protect bayhong lo
there is an urgent need for qualified teachers.,lopen gob dhu quilified
"after i graduated from college, i got a job with my father's company.",nga college tsa bey apa ghi company na la thob chi.
we have guests.,nga chey baesa goem yoe
can you finish it by noon?,min chey na tsa wong ga
this elevator's capacity is ten people.,elevator gi capacity di ra en may
ral cannot have fun without his friends.,raul charo mi ba trowa mithuen bay
we are old friends.,nga chey hema gi charo een
i got busy.,nga dhay khom me
"beautiful woman, is not she?",mo jamrim du. mindu ya?
dorji forgot to bring a flashlight.,dorji ghi flashlight bani jay so nu
"this book is written in simple english, so it should be easy for you to read.","ani ge ha go sheyp bay drinu, choe ge leyzhum bay lha tshu"
did you write that?,ani choe gi dre yi ga?
context is important.,nang doen dhi kha chay.
we bought our plane tickets two months in advance.,nga chay ghi plane ticket advance na ra ngo zha yi
they cannot stop you.,khong gi choe ka metsu
what a beautiful garden!,paa dumra jachichi
parents provide protection for their children.,pham gi alu lu protection jim mey
he was acquitted.,kho ro gi tang da nu
i do not want to be any more burden to my parents.,nga pham lu rey dhi dhey go manno
bees make honey.,bees ghi honey zowong
when is thinley's birthday?,thinley ghi k we nyom nam mo
she asked me to open the window.,godi che
he is the prom king and she is the prom queen.,kho the prom gap dha mo the prom azhi
does this have to be done now?,ani dhi dato ra bay go ya
i translated everything pema wrote into french.,nga ghi pema ghi lab ni gara french na kharjur bay yi
i do not need an office.,nga lu office mingo
i really appreciated your help yesterday afternoon.,choe ge khatsa help bay me lu appreciated
the garden was filled with flowers.,dumra na lu meto gi gang dhi dhu
is that what you think i want to hear?,nga dhi ngen go nonow zum thom may bu
he walked away.,kho lam jo bay yasi
i can cook.,nga gi to bay shey
come home early.,chimna early bay sho
he forgot his promise to go there.,kho ge fa joni ge kheylang bay me di jey so nu
the warrior is conscious of both his strength and his weakness.,warrior di conscious du kho ra gi strength and weakness lu
"i cannot go, nor do i want to.","nga jo mecho, jo go ya manoo"
i am sad.,nga sem shiyi
the boy is playing with his toy soldiers.,ani bhus dhi toy soldier nam tsem tsey dhoenu
could you translate this sentence?,ani sentence dhi atsi translate bay nang sa
i am not finished yet.,nga mazo dato ya.
who'll be the first to die?,shi mi dangpa ga mi
we should try doing this another way.,ani di soso bey beygey
did you enjoy going to exhibits in romania?,romania na exhibition na jow da trowa thoen may ga
i did find something.,nga gi ga chi na chi thob chi
i knew my time would come.,nga ghi shaychi nge dhue chi wong sey
you should smoke less.,choe tamkhu thungi tshamtshay bay
one problem translators face is that sometimes the source document is poorly written.,translator chi ge document boring zo nu
he must be a fool to talk like that.,kho tshagay ge lo lab mea
i am looking for my mobile phone.,nye phone tshay dho sa na
i am sorry but i forgot to do the homework.,nga homework bay ni jay so ye
gyeltshen helped us a lot.,gyeltshen ghi charo laysha ra bay yoe
i am mad at you.,nga choe ta dhi tsib za dhi en
i really do not want to go to boston with pema.,nga boston na jogo ma noi pema dhang chi kha
i really do not envy you.,nga che envy mibay way
they are willing to help us out.,khong gi nga chey lu charo bay gae lo
is eating fish good for you?,nya zhaw da zu lu phen bu
we have to stop now.,ngachay da gu ne
why do you need it?,gache bay gop mo
i did not want gyeltshen to help me.,gyeltshen gi nga lu charo bay me go
the statue is missing its head.,statue lu gudo ra min du tey
you are three hours late.,choe three hour ls late ya cv
it really did happen.,ngomara happen bae yoe say
all the houses in this neighborhood look so much alike that i cannot tell them apart.,nga chay gi thakhor na di chim gara chor chip thombay nga gi ngo mi pa bay
anybody can read it.,gaa gi ya lhab tsu
is this radio yours?,ani radio choe gi enna
you should learn from your mistakes.,choe ra gi mistake lay learn bey go
get out.,chi ka thoen song!
will not you have some tea?,choe ja mithong ga
you left your keys in the door.,choe gi dini go nata zha zhaw doe yi
she lives in the same house her grandparents lived in.,mo pha agay ghe chim na ra en hema lay ra
hot lemon with honey is a good remedy for colds.,hot lemon dhang honey nye de tshadrem ge den lu layshom enm
look at this.,ani dhi tash
we have not actually set a date yet.,nga chey date ra fix mabay
i asked the boy to throw the ball back.,nga bus lu ball lok ko nang lab chi
it is driving me crazy.,nga pysco jo chu do
paris is one of the largest cities in the world.,paris di world nalu largest city en
do not worry. it is ok.,tsagay malang khey mi
english is spoken in many parts of the world.,sago la sha nara english dhi lhab may
excuse me.,gom ma thray
let me go.,nga tang da
be careful what you wish for.,choe ra gachi moenlam tab ena shayp bay bay
do ants have ears?,jomo lo namcho yoe ya
i think i left something in the classroom.,nga ghi class chi lobkhang na lue nu
did you pay for the book?,choe gi turu tray yi bu book na?
i study math harder than english.,nga gi math english wa mam tayi
i deserve it.,nga gi thobthan enn
it was beginner's luck.,first time bayni digi may
have you read today's paper yet?,dari gi paper lhab chi bu?
there are some books on the desk.,table thokha book dhak pa chi dhu
he took the first prize.,ang dangpa gi say ra kho ghi thop chi
"after her husband's death, she brought up the two children all by herself.",mo gi map shi zhim lay alo nye di mora gi ka thang dro drom en may ro
i should not have done that.,nga ani mabay ru tiktik tangnu
i am just a plain old office worker.,nga office worker zum enn
he usually comes home late.,kho chim ne che su chi bay wong may
he plays cello exceptionally well.,kho gi cello dhi layshom trubmay
is something else going on here?,na gachi ra bew ena?
my mother bought me two pairs of pants last sunday.,nge aie ghi ya lu dhom nye nyo dza daw na nyo bak wong yi
she is two years younger than me.,mo nga lay lo nye lay chum
do not grow up to be like me.,nga zum bay grow mabay marey
a red light was glowing in the dark.,ba-tay map chi ba dhay nadhung na lay
"my uncle lived in washington, d. c. for two years.",lo nyi pha washington lay zey day nu
check your pockets.,choe ge pocket ta
i like rice more than bread.,bread lay dhi to gaye
he looked up the word in his dictionary.,kho gi word meaning dictionary na ta nu
you cannot have both books.,choe kedayp nye chhay ra me thob.
that is an actual fact.,ani dhe ben doen tam ngo ma enn
all we can do is hope.,nga chay gi bay thab zay ru raywa kayni ra may
i can teach you how to cook.,nga gi choe lu to bay ni tshub.
dogs bark.,rochi hab dhey
who is winning?,ga gi gayw may oiij
take heed of her advice.,asti mo ghi advice nyen
i was really hungry.,nga tho kay kab dayi
i did not do anything.,nga ghi gani ya mabey
madrid is the capital of spain.,madrid di spain gi gyalsa tewa enn
"no matter how hard he tried, my opinion did not change.",choe ga chi pab ru nga me nen
business is so slow these days.,business deadly slow dhu dari naba
i was born during the cold war.,nga mak chapbi gang kay kaywo en
i like to be thorough.,nga trang labi
school's not fun.,lobdra dhi miga bay
can you sing this song?,choe ani zhapthra then tsup ga
they laugh at him behind his back.,khong tsu jab kha lay gadhey
this nation's economy is growing by leaps and bounds in recent years.,recent years na gyelkhap ghi economy dhi leaps dha bounds bey yargey jodey
she is a born artist.,mo dhi kay ra artist bay kay kay may
he put a hand gently on her shoulder.,mo gi chhay toh lu kho gi lab jam chu chu bay kay dhay
the door was locked and we could not get in.,go dam bey yoe ni dhi gi ngachey nang na zi matshub
what you have said applies only to single women.,choe lab mi di amtsu ngyen mi mi tsu lu embay
i would rather feed my dog before we eat.,nga chay ra ma za wi hayma rochi lu jim dra
did dorji talk to you about his plans for next weekend?,dorji ge plan ge kho lay lab day bu
can i borrow this for a while?,nga ani atsi borrow bay gay wai
"which one do you prefer, the red one or the blue one?","choe ga go ne, red or blue"
"it is time for me to go, kids.","alu, nga jo ne ren ye tha"
gyeltshen will always be here for you.,gyelshen choe gi den lu atara daywong
it is too late for apologies.,zoe soel lab dhe che soi
tashi does not know how to cook very well.,tashi gi layshom bae cook bae mishey
you disgust me.,kham lo bay
i will speak to him alone.,nga ra cham chi lo lab ni kho nam
the administration approved the budget.,dag chong tshu gi ngyul ngye len bay nu
i like working here.,nga na lu la baygoh noumae
tashi took a lot of photographs.,tashi gi par lak sha tap yee
i did not recognize it at first.,nga ghi first na ngo ma shay
he gave them food and money.,kho gi to dang teeru jheen day
how does your wife feel about it?,choe ghi aumsu ghi gachi no dey
this book goes on the top shelf.,ani book dee shelf gi top naa tshu daa.
my dog has a long tail.,nge rochi lu juma rem yoe
i enjoyed talking with him at the party.,party na kho da chikha shay tho tang ni gi trowa jung ye
can you tell me a little about yourself?,choe gi kholay atshi lab na
draw a picture of yourself.,choera gi picture draw bay
where was it that you found this key?,gatay du choe ani key thob dha
i really do not recommend that today.,ani dhi nga gi recommand me bay
he looks quite sophisticated for his age.,kho atsi soso thong may
ugyen died in mary's arms.,ugeyn marry ghe lab na shii c nu
a policeman came up to me.,police nga baysa wong dey
i do not have much money now.,nga lu teru jobjob me dhato
she stopped singing the song.,mo zhabtra thoen ni zhayi
i should call the police and have you arrested.,nga police lu call chab bay choe zung chu go bay
"i did not do this, did i?","nga bay ra mabay , bay ye ya?"
please say hello to your family.,choe ra gi pincha lu hello labsh
where will the bus pick us up?,bus gaty thoenwong ga?
why does she look so sad?,mo gachi bay am chi ra sem shi yi ga?
i plan to throw all of this away. you may take whatever you like.,"nga chala tshu ko dho, choe ra ga gaw baa"
the air feels somewhat cold this morning.,druba dhi deadly khaysisi may
what is the address of the new bookshop?,payzay khang ge adress gachi mo
let us go outside and eat.,chikha jodhi ghi to za gey
my cat is white.,ngi jili kab enn
i am going to need some more time.,nga time mam go ni may
she may have said so.,mo gi ya lab lab wong
this is not a safe place.,ani place di safe minu may
do not talk nonsense!,nam tshey kho kho lu ju ma lab
i am sorry to have disturbed you.,go ma thaw choe lu trow yi
i am counting how many people there are.,nga me gamchi yoe ga count bay do
gyeltshen probably thought i was thirsty.,gyeltshen ghi nga kha kom nu noe nu
i cannot protect you.,nga ghi choe dag zin bey mitshu
we could not do it.,ngachay bay matshub
this was your idea.,ani ena choe gi idea di
it was a revelation to me.,ani di nga gi doen lu revelation may
i have to find someone to help me.,charo chi tshay gi bay
i cannot find time to read the book.,mga book lhap ni time mithob bay
i am attentive.,nga ngyen doe mi chi en
i know the name of this animal.,ani animal gi ming shay ty nga gi
i do not want any money.,nga tiru mingo
my cough is getting worse.,nge heen kay tsharim thob dho
god created the world.,zamling di kenchosum ghi zozow enn
i am wet.,loem bayi nga
are these the glasses you were looking for?,choe gi migshi tsey mi ani enna
"come on, talk to me.","dha, loo lhab si"
did i tell you that?,ahne nga ge lab chi ya
i guess you want me to leave.,nga tap choe nga na lae song se embay
i think this is a nice place.,ani sago layshom dhu
"my friend likes to live in the city, but his wife prefers to live in their little cottage in the country.",nge charo di city na doeni ga but kho gi wife gi khong ra gi yue kha chim chungku nara doeni ga wae
it was cold yesterday.,khatsa bheen khey si si dayi
is his story true?,kho ghi labmi dhen ga
the cat was licking its paws.,jili di lab chey da doe nu
"if they find us, we are dead.",khong gi nga chey tshay thob ba chin nga chey nye shi c
nobody noticed her absence.,mo mib gagi ya ma tshor way
he is saving money for a trip abroad.,kho chi kha jo ni den lu teru save bay dey
i do not know what to do here.,nga na gachi ben ni
it was hard for me to turn down his demand.,kho gi demand tshu lu meng go si lab ni lakha ra tangyi
i work at the post office.,nga post office na la baydho
you decide.,ani di choe gi tha che da.
i am not a teacher and do not want to become one.,nga lopen men delay bay ni sem ya mi
