english,romanized
Be nice.,be nice
Be nice.,lae shom bay sa
Be nice.,lae shom bay sa
Be nice.,Be nice.
Be nice.,tik tik bay sa
Be nice.,lae shom bay sa
Be ruthless.,ruthless bay oi
Beat it.,drang da
Beat the eggs.,gongdho trumsh
"Beautiful day, isn't it?","Nyim layshum, maembay ya?"
"Beautiful woman, isn't she?",mo jamrim du. mindu ya?
"Because her parents got divorced, the girl had hardly any contact with her father.",mo gi pham kha jayw lay pham dha dray wa maam mendhu
"Because her parents got divorced, the girl had little contact with her father.","Mo gi apa dang aei kha jay ni di gi, mo apa dang chi kha drelwa namey samey chi thab ni mi"
"Because my mother is sick, my father will cook today.",dari nye aie na de dhu ba hani bani de gi apa gi tho cham zho ni lo
"Because of the poor harvest, wheat prices have gone up in the last six months.",ani daw dru na chum gi gong yata jo mi dhi la layshoom bay ma bayw lay ten en bay
Bees make honey.,Bees ghi honey zowong
"Believe it or not, she has three children.","denzi riru mariru, mo lh alu sum dhu"
Believe me when I tell you that I don't love you.,nga choe lu mega lab da nyen may
Better to err on the side of caution.,drabpo toen ty zeywa bay go
"Between us, he is a little foolish.",kho atshi tsagay yoe nga da choebda
Books such as these are too difficult for him.,Kidhep dhi zum kho gi denlu lakha een
Both are alive.,Nyi chie ra mashew yoe
Both of the brothers are dead.,nuchu nge chara shi so nu
Bring me a dry towel.,towel kam basho
Bring me my cane.,nga gi cane ba sho
Bring the key.,demi basho
Business is looking up.,tsong ghi ya tadhey
Business is so slow these days.,business deadly slow dhu dari naba
But I was careful.,doe bew da nga rip dem bay ra deyi
But I wasn't afraid.,Nga ma dro.
"By the end of the century, the earth will have experienced a dramatic increase in temperature.","ani gyelrub gi ju lu, zamling na tshar shu jung yong"
Call me.,nga lu call bay
Call me.,call bay nga lu
Call us.,call bay nga chey lu
Call us.,nga chey lu call bay
Camping is impossible where there is no water.,Chu mi wa chin camping bey mi tsu
Can eating just vegetables help you lose weight?,Oii.... vegetables za wa chin weight lose ba wong ga
Can I borrow this for a while?,nga ani atsi borrow bay gay wai
Can I get you anything else?,Doru gon na?
Can I go swimming this afternoon?,nga dha re afternoon na swimming na jo ga
Can I have a word with you alone?,choe dha kha lab go bay
Can I pay for the book by check?,ani denlay teru tray go mi dhi check lay bay tubga
Can I see you a moment?,dato choe free ena
Can I see you a second?,Nga choe chay go bay
Can I show you something?,nga choe lu gachi na chi toen ga?
Can I speak with you?,nga choe chikha lo lab ga
Can I take a look at it?,atsi tagay
Can I tell you guys something?,cheng lu lo chi lab ga?
Can I think about it?,Ani gi korlay nga nosam chi tang cho ga?
Can somebody get that?,len ba sho ta
Can this possibly be the right address?,ane dhay sa sa go ra ena mo
Can you direct me to the nearest subway station?,choe gi subway station gi lam atsi toen nang may la.
Can you drive a five speed?,choe gi 5 speed tang tsu ya
Can you explain how this machine works?,choe ghi ani machine dhi gadhoe bay la baywong ga explain chi bay nang sa
Can you finish it by noon?,min chey na tsa wong ga
Can you give me a slice of bread?,bread slice chi nang may la.
Can you hear us?,ha gow may ga
Can you hold on for a second?,a tshi gu na may
Can you identify the man using this picture?,Choe gi me dhi ani paar tabay tshachi ngoezin bay tshub ga?
Can you lend me 500 yen?,choe nga lu tiru 500 na may
Can you promise me you won't tell Chime?,choe ghi chime luu milab zer khelang bay
Can you see anything over there?,Apha lay pahr gachi guchi thong may ga
Can you shut up?,khatsum bey dey na
Can you sing this song?,choe ani zhapthra then tsup ga
Can you solve this problem?,ani driwa solve baetshup ga?
Can you tell me a little about yourself?,choe gi kholay atshi lab na
Can you tell the difference?,difference lab tsub ga choe gi
Can't you reach the book on the shelf?,choe gi ya dom tho kha yoe me paycha dhi dha me zin bay ya?
Canada and Mexico both share a border with the USA.,Canada and Mexico nye cha ra USA ge tsawa enna
Carry her to the operating room.,mo operation room na ba
Carry the bags upstairs.,bags ya ba sa
Cats were domesticated by the Egyptians.,Egyptian tshu gi Jili tshu tsho day.
Change is possible.,Jurchey bay tsub
Change trains at the next station.,Sago so so na hoep da train soo.
Check your pockets.,choe ge pocket ta
Cheers!,cheers
Cheers!,cheers
Cheers!,Cheers!
Cheers!,cheers
Children walk around from door to door on Halloween night.,alu tsu go chi lay chi na jo dhay halloween gi chiru.
Chime and Mary aren't afraid.,chime dah mary madrobay
Chime and Mary can't both be right.,chimi dha mary right men dho hong sa
Chime didn't see it.,nga chimi ma thong
Chime doesn't like to talk about that.,Chime gi ani korlay lo lab goo mee noe way lo
Chime doesn't speak French at home.,chime french lap ni mi chik
Chime drank a glass of water.,Chimi ghi chu glass chi thung nu
Chime drank a glass of wine.,tim gi cham ga ju nu
Chime even likes cold pizza.,Chime gi cold pizza ya gawong tay
Chime forgot to buy bread.,chime ghi bread nyo ni jae so nu
Chime has a healthy life style.,chime dhoe thang leyshom yoe
Chime hid Mary's doll behind the door.,Tom ghi Mary ghi doll gho ghi jab kha eep zha nu
Chime is going to have to ask Mary to help him.,chimi gi mary lay charo lane dhay si
Chime is insanely jealous.,chime jealous thaw mae
Chime is listening to his iPod.,Chime kho ra gi ipods na ngyen dey
Chime is voting.,chimi tshogyen tshu day
Chime is working on your car.,Chime gi choe gi gari zo nu
Chime isn't at home.,chime chim na mindu.
Chime knew he had a problem.,Chime ghi shaynu kho na problem dhu sey
Chime lay awake for a long time thinking about what he should do.,chimi ma nye yi ra no sam tang dhey nu ga chi bay ni enna gi kor lay
Chime looks disgusted.,chime dhi ma ja kha kha thom may
Chime makes me feel safe.,chimw chikha safe feel bew may
Chime needs help now.,Chime charo gobae
Chime overslept.,Chimi nyel da nu
Chime plays the piano every day.,chime atara piano tro dhab may si
Chime pulled a box from under the bed.,chime gi dom chi thoen dhay bed gi wog lay.
Chime pulled the rope.,chimi gi thab thoen yi
Chime quite often sleeps more than eight hours.,Chime maam ra 8 hours wa maam neu mey
Chime respects everyone.,chime gi gara lu respect bay nee yoee.
Chime said he didn't want to eat anything.,chimi ghi kho gani ya za go mano labdey
Chime said he regretted not following Mary's advice.,Chime ghi Mary ghi adice malenni dhi ghiregret zanu
Chime said that he'd be a few minutes late.,Chime gi kho few minutes late how wong lo
Chime seems to be seasick.,Chime na naw zum dhu
Chime showed Mary something.,Chime gi Mary lu chala chi tin nu
Chime taught me how to play chess.,Chimi gi chess toenyi
Chime took care of our children last weekend.,dangzha gi duenthra na chime gi nga chay alu tshu tayi
Chime washed the car this morning.,chime ghi gari dachi droba chu dhay
Chime will obey.,chimi gi nen wong
Chime will stay with us.,chime nga chay nam doe wong
"Chime's crying. ""I know.""","Chime ngu dey. ""Nga Shey"""
Chime's wounded.,Chime mah thoen nu
Cities and provinces along the Yangtze River in central China are grappling with the country's worst drought in more than 50 years.,"Lo ngapchu gi shu lay, Jana bu gi throm da yuetshen tshu charp mi bi ka ngyel thaen dae"
Clean your room.,choe room cha
Close your eyes again.,lok mito tsum
"Cold water, please.",chhu khem please
Come and see me.,nga chaywa sho
Come help me.,nga lu charo bay na
Come home early.,chimna early bay sho
Come in.,nang na sho
Come in.,nang na zi
Come in.,zi nang na
Come in.,sho nang na
Come on any day you like.,nam bayru sho
"Come on, talk to me.","dha, loo lhab si"
"Come on, trust me.","Aii sho wai, nga lotey nang"
Come on!,sho cc!
Come on.,thrab gay
Come on.,jo gay
Come on.,Sho cc.
Come quickly!,jo ba sho
Come to my office.,nge office na sho
"Come with us, please.",please nga chay chi kha jo gay wai
Context is important.,nang doen dhi kha chay.
Copy this program on your computer.,ani program dhi choe ghi computer na copy bay
Could I please have a glass of water?,Glass of water chi na mae
Could somebody please open the door?,Ga bey ru atsi gho chi nang mey?
Could we have a spoon?,ngechey spoon chi thob ga?
Could you give me a ball-park figure?,choe gi nga lu photse chi nang
Could you please not smoke in this room?,choe gi room na tam khu ma thung ba chin nga sem gani may
Could you please stop saying that?,Ani lap ni dhi zha da please
Could you possibly translate this for me?,choe ge
Could you put those bags in the car for me?,bag tshu gari na zha nang wai
Could you send this letter to Japan?,yiggu dhi japan lu kay na may
Could you speak more slowly?,atsi golay bay lab na
Could you tell me how to use the telephone?,telephone use baeni toen na mae nga lu
Could you translate this sentence?,Ani sentence dhi atsi translate bay nang sa
Country people are traditionally suspicious of strangers.,ye khai mi tshu gi ngar sel lay ra mi ngo mashep tshu lu dogpa tsaw en
Cover the seeds with a little earth.,seeds de tshu zamling chungku ge pup zha
Criminals should be punished.,ngen lay ghi la bayme dhi yang cha tani me wong
"Culture plays a dynamic role in shaping an individual's character, attitude, and outlook on life.",-
Cutting a cake into equal pieces is rather difficult.,Cake equal bay cut bayni di lakha du mai
"Daddy, I can't walk any more. Carry me.",apa nga lam jo misthup ni mae da ben nga ba na
"Day in and day out, he does nothing but tend his sheep.",na na dhey ru chikha jo ru kho ghi lu ta dhey wong
Defend her from danger.,Mo defend bay may danger lay
Did anyone call me?,Nga call wongye ya?
Did anyone notice anything unusual?,Ga gi ya gachi chi mathong ga?
Did Dorji talk to you about his plans for next weekend?,dorji ge plan ge kho lay lab day bu
Did I ask you?,choe gi lap chi ga
Did I give you that impression?,nga ge impression layshom dey he ga
Did I have a choice?,doe wai choice halam
Did I miss much?,halam miss bayi ya
Did I not anticipate this?,mashay tey dhi dhi choera shay dho wong
Did I tell you that?,ahne nga ge lab chi ya
Did Pema go alone?,Pema khora joye ya
Did you buy this book?,Ani paychha dhi choe gi nyoi ya
Did you do your homework by yourself?,choe ra ge ra baye ga la
Did you enjoy going to exhibits in Romania?,Romania na exhibition na jow da trowa thoen may ga
Did you ever talk to him?,choe kho dha lo lab chi bu
Did you get your wish?,choe ra ngo mi rewa drup chi ga
Did you have a lot of happy experiences in your childhood?,chungku gang choe ghi sem gawai yam yong yoe ga?
Did you hear the news?,new thong yi bu?
Did you like the movie?,Choe ani Movie Gaeyi ga?
Did you pay for the book?,choe gi turu tray yi bu book na?
Did you recognize your old classmate?,Choe gi choe raie hema lobkhang gi charo ngo shey chi ga??
Did you see anyone suspicious?,choe gi dokpa yoe mi thong yi ga
Did you see anyone?,chie ghi gaya mathobg ga
Did you write that?,ani choe gi dre yi ga?
Did your mother make those?,"maba wai, nge aie gi maba"
"Didn't I give you 10,000 yen a week ago?",yen 10000 majin bu haema nga gi
Didn't I tell you not to dance?,nga ghi choe dance machab sey labchi mena
Didn't your parents give you anything?,pham gi gach ya majin bu
Do ants have ears?,jomo lo namcho yoe ya
Do both Ugyen and Mary understand French?,do da Mary nyi chara ge frech ha go shey ga?
Do I have to wear a tie at work?,la na tie gen jogo ga?
Do I know you?,nga gi choe ngo shey ya?
Do it quickly.,joba bay.
Do not interfere!,bana mazue sa!
Do what he tells you.,kho ghi lab mii bey
Do you deny it?,metup say ena
Do you drink?,choe chang thungni yoe ga?
Do you eat a lot?,choe do cc cc zayi ya
Do you expect me to believe you?,Nga gi choe lu denzel reyhing zer rey cha kel do ya
Do you guys smoke?,choe tamkhu thung wong bu?
Do you have a boyfriend?,choe lu boyfriend yoe ya
Do you have a flashlight that I could borrow?,choe lu flashlight yoe ga
Do you have a school uniform?,School uniform yoe ga choe lu?
Do you have a showroom for your products in the city?,to2n na lu tshongkang yoe bu
Do you have an alibi?,choe char zhi ngye pa chi ma tsam ga?
Do you have any tattoos?,choe lu tattos yoe bu?
Do you have anything in mind?,choe gi guto na gachi yoe
Do you know what color she likes?,mo ghi colour gachi ga shey ga?
Do you know what your kids are eating?,Choe alu tshugi gachi zaw ena shay ga?
Do you like horror movies?,drey gi movie ga ga?
Do you like playing sports?,Choe tshaem thay ni ga ya?
Do you like snow?,choe ge snow gaya
Do you live around here?,choe ana fa tshu dayw ena?
Do you mind if I sit here?,nga na dhoeb da choe lu khemi ya ?
Do you mind if I turn down the TV?,TV seyb da khey mi ga?
Do you mind if I turn off the light?,Light off Chab ba chin tub ga?
Do you mind my making a suggestion?,chie ghi chamchar chi lab na may
Do you see a black horse?,Choe gi ta nap chi thom mey ga?
Do you share a room?,Choe room share bay wong bu
Do you speak French well?,choe french laeshom bae speak baetsub ga
Do you think I would really do that?,choe gi ta wa chin nga ghi ani zum bey wong sey now mey ya
Do you think it's just a coincidence?,coincidence cham chi en may mayna
Do you think it's worthwhile? I don't think so.,"ani de khung du ya, mindu mena"
Do you understand or not?,Ha goi yan ma go??
Do you want something cold to drink?,khesisi chi thu ni na
Do you want sugar in your coffee?,choe ghi cofffe na chini go ga
Do you want to dance?,choe zhabdra chab na
Do you want to get drunk?,razi go noyi ga?
Do you want to get us both killed?,nga chey nye chara choe gi say ni enna?
Do you want to go fishing tomorrow?,naba nya zungba jon na
Do you want to stay here all night?,Dari zha chi na doen na
Do you want to take that risk?,Choe ani risk take ban na?
Does anyone know you're here?,choe na yoe say ga ghi ra shay
Does Chime know what happened?,ga chi bay yi ga Chime gi ya shay ya
Does Gyeltshen like to swim?,gyeltshen tsey chab ni nga ga?
Does it snow much in the winter?,nam guen khaw chab mae bu
Does she have a boyfriend?,mo lu boyfriend duga?
Does she know you?,mo gi choe ngo shey ga
Does that make any sense?,chie chi du ga
Does the hat fit well?,zham layshom bay tubay ga
Does this have to be done now?,ani dhi dato ra bay go ya
Doesn't it sometimes just get to you?,ha migo way bu
Dogs bark.,rochi hab dhey
Don't act surprised.,Suprised act mabay ta
Don't ask me to do this.,Nga lu bae sae ma lab
Don't ask questions. Just follow me.,diwa ma di ba nga nyam sho
Don't be a chicken.,sem chungku ma zo
Don't be a copycat.,nga ghi copy mata ta
Don't be late.,ma chi may
Don't be ridiculous!,goe dra cc cc mabay
Don't be shy.,ngo ma tsa cc
Don't be so greedy or you'll wind up with nothing.,na mey sa mey greedy mabay tama gachi ya methob wong may
Don't breathe a word of what I've told you to anyone.,Nga gi lab me loju tshu galu ya lab ni mewong mae.
Don't cheat him.,kho lu gukhor machab
Don't confuse comets and asteroids.,Comets dang asteroid confuse mabay si
Don't do this.,ani zum ma bay
Don't eat without me.,nga may ba maza
Don't ever underestimate Pema.,pema lu maphab machab
Don't forget your stuff.,choe ghi chala majay mey
Don't give him any ideas.,Idea chi ya majin kholu
Don't go near the dog.,rochi tsawa majow
Don't grow up to be like me.,nga zum bay grow mabay marey
Don't hesitate to ask questions.,Driwa dri ni lu yhang ma za mey
Don't jump!,ma tshom
Don't kill me.,nga masay
Don't let me down like you did the other day.,last time bay do zum ma bay may
Don't let such a good opportunity go by.,gokab zangpo jo chu ni miwong
Don't listen to Pema. He doesn't know what he's talking about.,Kho gi loo na nen. Kho kho ra gachi lab ena meshay
Don't lose your purse.,ngeku dakzin bay
Don't make me stay.,nga dhoe ma chu
Don't make the same mistake twice.,Mistake same bay twice mabey
Don't mind her.,mo mind mabae
Don't open your mouth.,Kha ma jang oii
Don't patronize me.,patronize mai ane
Don't play dumb!,Tsagay zum act mabay
Don't push it.,ma phi may
Don't risk your fortune on that.,choe ra gi seynam nyen kha na matsu
Don't scare me like that!,nga naybay dro machu si!
Don't shout at me. I can hear you all right.,da kay mingo ngalu. nga gi choe kay go tsubay
Don't stand up.,ya long mi go
Don't talk about me.,Nge korlay loo malab jdha.
Don't talk about work. We're on vacation.,"la gi korlae malab, nga chey vacation na en"
Don't talk nonsense!,nam tshey kho kho lu ju ma lab
Don't throw away this magazine.,ani megazine mako mey
Don't touch the button.,ani button ma tro
Don't try to carry too much.,na may sa may ba ni gi tshi ma bay
Don't try to trick us.,ngachey lengo zho ni oa ma cham
Don't walk out on me again.,Walk out mabay may daru.
"Don't worry about it, OK?",choe tshagay ma lang tub
Don't worry. It's OK.,tsagay malang khey mi
Don't you feel stupid now?,da choe ra tsa gay zum mi tsow may ya
Don't you know how dangerous it is to go swimming by yourself?,choe cham chi swimming jo ni dhi drosisi en say meshay bu
Don't you know who I am?,choe ghi nga ga eni ngo shay ga
Don't you think I would like to do that?,nga ya bey go sey mano ya?
Don't you think Tashi and John look alike?,Tashi dang jhon same ming dhu
Dorji admitted he didn't do what we had asked him to do.,dorji ghi ngachay ghi lab me la mabay sey admit baeyi
Dorji and Mary are playing a video game.,dorji dang mary game tsey dhey nu
Dorji and Mary don't agree with you.,Dorji da Mary choe ngyam agree bay mitub bay
Dorji became anorexic when he was a high school student.,"kho high school student bay dowb da lu, he was anorexic"
Dorji broke the rules and was kicked off the team.,Dorji ghi thrim lay gay sop lay detshen lay ten ko nu
Dorji certainly fits the description that the police gave us.,Dorji dhi police gi lab mi dha dra way
Dorji changed his diet.,dorji ghi kho ra ghi zey so nu
Dorji doesn't know how to ski.,dorji ge ski bay mi shey
Dorji forgot to bring a flashlight.,Dorji ghi flashlight bani jay so nu
Dorji gives us what we want.,Doeji gi ngachay go mi dhi jindhay
Dorji had bags under his eyes after several sleepless nights.,Dorji layshom manye ni di ghi migto bonu
Dorji has been expelled from school.,dorji lodra ley toen ta nu
Dorji has never gotten over Mary's death.,nga mary shiyee say dhan zhi ray mitshup bay
Dorji helped Mary stand up.,dorji gi mary lu charo bay day
Dorji is obviously busy.,Dorji lu duetshey mindhu
Dorji is still outside.,Dorji dhato ya chikha dhu
Dorji is still very unhappy.,Dorji dato ya sem maga wa du
Dorji isn't good at hiding his emotions.,dorji emotions hide bayni layshom mindu
Dorji knew that Mary loved John.,mary gi john lu gaw emm dorji gi shy bay
Dorji liked that.,ani ben dorji gi ga nu may
Dorji poured some cereal into a bowl.,dorji gi cereal gara thali na lu nu
Dorji promised not to smoke anymore.,dorji daben tamkhu mithung lo
Dorji shouldn't have left.,To di ma jo ru tub chi
Dorji still isn't quite convinced.,Dorji dato ya convince bay matsub bay
Dorji told Mary that she shouldn't go there alone.,dorji gi Mary li lab nu mo pha mo ra cham chi ma jo say
Dorji told me that he couldn't really trust Microsoft.,dorji gi labday kho gi microsoft denzi ray mitsu say
Dorji turned off his headlights.,Dorji ghi headlights off bay nu
"Dorji won't be able to do it by himself, so we need to ask someone to help him.",Dorji ghi dhi bae mitshub. kho lu charo baemi soso ghi gobay
Double-click the icon.,tsha ni yab anna
Draw a picture of yourself.,Choera gi picture draw bay
Dreams sometimes come true.,Milam tsharchig denpa gyurni inbe
Drinking and driving can be dangerous.,chang thubg bay gari matang
Drinking warm milk makes me sleepy.,om tsha tom gi nga ngye thhay chuuw may
Drop it!,mata zha!
Drop it!,zha mata!
Drop it!,zha ma!
Drop it!,ma zha!
Drugs can ruin your life.,drugs gi metse meyp tang yong may.
Each of us has to be careful when driving.,nga chey gara numkhor tam dha drem toen go
Education is an investment in the future.,sherig dhi mawongpai matsa tsu mi chi en
Einstein enjoyed playing the violin.,Einstein violin tang ni gaway
Employers sometimes exploit their workers.,la yo jin mi tshu gi thre thre khong rai la baymi tshu lu log chay bew en
English is spoken in many parts of the world.,sago la sha nara English dhi lhab may
Even his servants despised him.,kho ghi jaro tshu ghi ya kho mi ga bay
"Even though it's small, it's still a great car.",ani drulkhor dhi chungku en ru layshoom dhu
Every day my dad leaves for work at eight o'clock.,atara apa gi chutsay 8 lu lasa jow en
Everybody can see that he has a crush on her.,gara gi thong may ty kho gi mo lu gaway say
Everybody hates Ugyen.,gara gi ugyen miga
Everybody is alive.,Gara mashi wa du
Everybody wants recognition.,gara ngezin bay go no nu
Everyone in my family is happy.,nga choe puencha gara sem ga bay yoe
Everyone laughed at this mistake.,mi gara khong ge zelwa ge bay gaa doe nu
Everyone looked relieved.,gara releived thom may
Everyone was horrified.,Me gay ra dro nu
Everyone working for us earns more than the minimum wage.,Nga chay nam la bey mi tsu minimum wage wa maam earn beu mey
Everything about this is wrong.,Gara wrong mae ani tsu di
Everything I said was true.,Bga gi lab mi gara true ein
